#time volume price
1501617240.0 156083.0 146.894
1501617300.0 147451.0 146.928
1501617360.0 227091.0 146.854
1501617420.0 229291.0 146.939
1501617480.0 279300.0 146.957
1501617540.0 282893.0 147.147
1501617600.0 652190.0 147.237
1501680660.0 2792152.0 156.186
1501680720.0 1058053.0 156.059
1501680780.0 926377.0 156.255
1501680840.0 763546.0 155.939
1501680900.0 637679.0 156.019
1501680960.0 698078.0 156.282
1501681020.0 1063596.0 156.608
1501681080.0 543848.0 156.423
1501681140.0 382213.0 156.544
1501681200.0 406773.0 156.278
1501681260.0 548812.0 155.951
1501681320.0 721812.0 155.473
1501681380.0 511273.0 155.843
1501681440.0 457771.0 155.823
1501681500.0 439824.0 155.46
1501681560.0 446611.0 155.843
1501681620.0 369762.0 155.812
1501681680.0 329790.0 155.764
1501681740.0 285891.0 155.671
1501681800.0 465658.0 155.744
1501681860.0 425057.0 155.44
1501681920.0 310200.0 155.381
1501681980.0 411378.0 155.465
1501682040.0 330921.0 155.43
1501682100.0 375882.0 155.46
1501682160.0 272796.0 155.401
1501682220.0 394960.0 155.067
1501682280.0 659854.0 154.999
1501682340.0 372936.0 154.803
1501682400.0 391879.0 154.979
1501682460.0 433566.0 155.107
1501682520.0 367231.0 154.933
1501682580.0 212277.0 155.038
1501682640.0 218979.0 154.95
1501682700.0 204793.0 154.864
1501682760.0 327933.0 154.822
1501682820.0 280288.0 154.753
1501682880.0 216575.0 154.8
1501682940.0 386020.0 155.038
1501683000.0 321750.0 155.245
1501683060.0 311720.0 155.323
1501683120.0 323479.0 155.381
1501683180.0 251458.0 155.273
1501683240.0 210231.0 155.126
1501683300.0 187687.0 154.94
1501683360.0 153234.0 154.793
1501683420.0 256440.0 154.557
1501683480.0 343953.0 154.538
1501683540.0 196152.0 154.44
1501683600.0 350858.0 154.341
1501683660.0 317617.0 154.204
1501683720.0 408386.0 153.968
1501683780.0 292994.0 154.047
1501683840.0 495868.0 153.782
1501683900.0 368511.0 153.762
1501683960.0 184589.0 153.898
1501684020.0 308438.0 154.037
1501684080.0 407744.0 153.321
1501684140.0 311736.0 153.578
1501684200.0 175266.0 153.488
1501684260.0 231300.0 153.535
1501684320.0 184099.0 153.713
1501684380.0 285169.0 153.939
1501684440.0 240888.0 154.008
1501684500.0 287668.0 154.18
1501684560.0 228634.0 153.939
1501684620.0 182231.0 153.91
1501684680.0 278842.0 154.184
1501684740.0 262868.0 154.341
1501684800.0 236207.0 154.361
1501684860.0 142420.0 154.312
1501684920.0 257061.0 154.047
1501684980.0 121148.0 154.106
1501685040.0 168954.0 153.86
1501685100.0 223462.0 153.488
1501685160.0 202282.0 153.645
1501685220.0 181551.0 153.713
1501685280.0 140004.0 153.934
1501685340.0 128452.0 153.777
1501685400.0 208045.0 154.057
1501685460.0 189682.0 154.135
1501685520.0 122852.0 154.125
1501685580.0 172987.0 154.125
1501685640.0 83142.0 154.026
1501685700.0 91465.0 153.963
1501685760.0 151760.0 153.949
1501685820.0 290659.0 154.155
1501685880.0 101228.0 154.056
1501685940.0 195754.0 154.008
1501686000.0 160021.0 154.067
1501686060.0 212676.0 154.329
1501686120.0 147042.0 154.292
1501686180.0 188360.0 153.89
1501686240.0 198851.0 153.684
1501686300.0 181304.0 153.668
